09-22-23_04-40-01-148 - Logging Started
04-51-05-765 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[11] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-51-08-933 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[6] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-51-12-163 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-51-15-330 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[33] Bloc:[7] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-51-18-330 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[65] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-51-21-494 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-51-25-162 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[28] Bloc:[9] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
04-51-28-160 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-51-31-324 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-51-34-325 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[32] Bloc:[9] Aim:[20] CCast:[0] RndCast[0] TopCast[0]
04-51-37-498 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-51-40-499 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[66] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-51-43-665 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[29] Bloc:[9] Aim:[17] CCast:[0] RndCast[0] TopCast[0]
04-51-46-821 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-51-49-821 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[31] Bloc:[7] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
04-51-53-478 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[7] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-51-56-477 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[7] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-51-59-640 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[35] Bloc:[65] Aim:[80] CCast:[0] RndCast[57] TopCast[0]
04-52-02-642 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[33] Bloc:[42] Aim:[53] CCast:[30] RndCast[0] TopCast[0]
04-52-05-804 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-52-08-804 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[12] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-52-11-980 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[29] Bloc:[12] Aim:[17] CCast:[0] RndCast[0] TopCast[0]
04-52-14-978 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[30] Bloc:[8] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-52-18-138 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[33] Bloc:[6] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-52-21-141 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[34] Bloc:[9] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
04-52-24-773 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[45] Targ:[28] Bloc:[9] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
