09-22-23_02-38-24-686 - Logging Started
02-42-21-857 - (CPU-T) --- <Steps>58 <S-Sim>0.98 <C-Sim>0.98 <AI>0.0489/0.0251/0.7163 <Acq>0.0019/0.0012/0.1696 <SH>0.0002/0.0001/0.0004 <CH>0.0003/0.0002/0.0121 <PS>0.0068/0.0053/0.0850 <PI>0.0009/0.0008/0.0158 <PD>0.0003/0.0002/0.0123 <PA>0.0002/0.0001/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0003/0.0010> <DB>0.1513/0.1492/0.1534>
02-42-24-857 - (CPU-T) --- <Steps>59 <S-Sim>0.99 <C-Sim>0.99 <AI>0.0561/0.0243/0.4501 <Acq>0.0021/0.0011/1.6793 <SH>0.0002/0.0001/0.0127 <CH>0.0003/0.0002/0.0126 <PS>0.0075/0.0054/0.0944 <PI>0.0009/0.0008/0.0079 <PD>0.0003/0.0002/0.0050 <PA>0.0002/0.0002/0.0006 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0004 <NET1>0.0004/0.0003/0.0009> <DB>0.1573/0.1573/0.1573>
02-42-27-858 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0548/0.0240/0.5568 <Acq>0.0018/0.0011/2.2463 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0064 <PS>0.0066/0.0053/0.0458 <PI>0.0009/0.0008/0.0167 <PD>0.0003/0.0002/0.0100 <PA>0.0002/0.0002/0.0006 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0137> <DB>0.1543/0.1454/0.1631>
02-42-31-017 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0416/0.0244/0.6128 <Acq>0.0017/0.0011/2.0575 <SH>0.0002/0.0001/0.0004 <CH>0.0003/0.0002/0.0008 <PS>0.0063/0.0054/0.0622 <PI>0.0009/0.0008/0.0080 <PD>0.0003/0.0002/0.0010 <PA>0.0002/0.0001/0.0004 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0009> <DB>0.1530/0.1429/0.1631>
02-42-34-017 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0522/0.0239/0.5052 <Acq>0.0019/0.0010/1.6776 <SH>0.0002/0.0001/0.0061 <CH>0.0003/0.0002/0.0142 <PS>0.0066/0.0054/0.0403 <PI>0.0009/0.0008/0.0177 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0009> <DB>0.1494/0.1448/0.1540>
02-42-37-174 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0444/0.0243/0.8097 <Acq>0.0019/0.0011/2.0559 <SH>0.0002/0.0001/0.0006 <CH>0.0003/0.0002/0.0450 <PS>0.0069/0.0054/0.1364 <PI>0.0009/0.0008/0.0304 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0132 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0061 <NET1>0.0004/0.0002/0.0012> <DB>0.1694/0.1609/0.1779>
02-42-40-670 - (CPU-T) --- <Steps>53 <S-Sim>0.89 <C-Sim>0.89 <AI>0.0523/0.0249/5.5175 <Acq>0.0020/0.0011/2.1021 <SH>0.0002/0.0001/0.0008 <CH>0.0003/0.0002/0.0006 <PS>0.0069/0.0055/0.0773 <PI>0.0009/0.0008/0.0667 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0050 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0011> <DB>0.1477/0.1477/0.1477>
02-42-43-833 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0505/0.0241/0.6505 <Acq>0.0018/0.0011/1.7863 <SH>0.0002/0.0001/0.0007 <CH>0.0003/0.0002/0.0065 <PS>0.0067/0.0054/0.0842 <PI>0.0009/0.0008/0.0139 <PD>0.0003/0.0002/0.0011 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0009> <DB>0.1448/0.1425/0.1470>
02-42-46-833 - (CPU-T) --- <Steps>60 <S-Sim>1.01 <C-Sim>1.01 <AI>0.0498/0.0254/0.6484 <Acq>0.0020/0.0010/1.6832 <SH>0.0002/0.0001/0.0062 <CH>0.0003/0.0002/0.0290 <PS>0.0070/0.0054/0.0961 <PI>0.0009/0.0008/0.0080 <PD>0.0003/0.0002/0.0012 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0005 <NET1>0.0004/0.0003/0.0009> <DB>0.1679/0.1545/0.1813>
02-42-49-998 - (CPU-T) --- <Steps>57 <S-Sim>0.96 <C-Sim>0.96 <AI>0.0515/0.0260/0.5672 <Acq>0.0021/0.0012/0.0429 <SH>0.0002/0.0001/0.0005 <CH>0.0003/0.0002/0.0050 <PS>0.0073/0.0055/0.0604 <PI>0.0009/0.0008/0.0029 <PD>0.0004/0.0002/0.0013 <PA>0.0002/0.0002/0.0005 <DR>0.0000/0.0000/0.0000 <AV>0.0002/0.0001/0.0003 <NET1>0.0004/0.0003/0.0009> <DB>0.1594/0.1502/0.1686>
